unique_values,counts
['Drug - decreases activity of - Protein - negatively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - manifestation of - Disease'],2
"['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease', 'Drug - negatively regulates - BiologicalProcess - positively correlated with - Disease']",2
['Drug - chemically similar to - ChemicalSubstance - increases activity of - Protein - positively regulates - Pathway - negatively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - MolecularActivity - part of - Protein - expressed in - Cell - positively correlated with - BiologicalProcess - positively correlated with - Disease'],2
['Drug - increases activity of - GeneFamily - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - correlated with - Disease'],2
"['Drug - positively regulates - Protein - increases abundance of - GeneFamily - positively correlated with - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease', 'Drug - positively regulates - Protein - increases abundance of - GeneFamily - positively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease', 'Drug - negatively correlated with - GeneFamily - positively correlated with - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease', 'Drug - negatively correlated with - GeneFamily - positively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease', 'Drug - negatively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease']",2
['Drug - positively correlated with - Protein - positively regulates - MolecularActivity - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - correlated with - BiologicalProcess - positively correlated with - Cell - positively correlated with - Disease'],2
['Drug - produces - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
"['Drug - decreases activity of - Protein - participates in - BiologicalProcess - causes - Disease', 'Drug - decreases abundance of - ChemicalSubstance - correlated with - BiologicalProcess - causes - Disease']",2
['Drug - increases activity of - Protein - increases activity of - GeneFamily - increases abundance of - ChemicalSubstance - negatively correlated with - BiologicalProcess - occurs in - GrossAnatomicalStructure - location of - Disease'],2
"['Drug - decreases activity of - Protein - participates in - BiologicalProcess - causes - Disease', 'Drug - decreases abundance of - ChemicalSubstance - correlated with - BiologicalProcess - causes - Disease', 'Drug - decreases abundance of - ChemicalSubstance - located in - GrossAnatomicalStructure - causes - PhenotypicFeature - correlated with - Disease']",2
"['Drug - molecularly interacts with - ChemicalSubstance - correlated with - Disease', 'Drug - capable of - MolecularActivity - decreases abundance of - ChemicalSubstance - correlated with - Disease']",2
['Drug - produces - ChemicalSubstance - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - increases activity of - GeneFamily - participates in - PhenotypicFeature - in taxon - OrganismTaxon - causes - Disease'],2
['Drug - increases activity of - Protein - participates in - BiologicalProcess - positively correlated with - PhenotypicFeature - caused by - ChemicalSubstance - contributes to - Disease'],2
['Drug - increases activity of - Protein - increases abundance of - ChemicalSubstance - positively correlated with - Disease'],2
"['Drug - derives into - ChemicalSubstance - negatively correlated with - Disease', 'Drug - derives into - ChemicalSubstance - positively regulates - BiologicalProcess - contributes to - PhenotypicFeature - manifestation of - Disease']",2
"['Drug - has metabolite - ChemicalSubstance - decreases activity of - CellularComponent - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease', 'Drug - has metabolite - ChemicalSubstance - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease']",2
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - negatively regulates - BiologicalProcess - positively correlated with - Disease'],2
"['Drug - positively correlated with - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - Disease', 'Drug - positively correlated with - BiologicalProcess - positively correlated with - Disease', 'Drug - negatively correlated with - ChemicalSubstance - negatively correlated with - BiologicalProcess - positively correlated with - Disease', 'Drug - negatively correlated with - ChemicalSubstance - positively correlated with - Disease', 'Drug - negatively correlated with - Protein - positively correlated with - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - Disease', 'Drug - negatively correlated with - Protein - positively correlated with - BiologicalProcess - positively correlated with - Disease']",2
['Drug - produces - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - contributes to - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - Protein - participates in - MolecularActivity - participates in - BiologicalProcess - located in - Cell - correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively correlated with - MolecularActivity - positively correlated with - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - negatively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - positively regulates - PhenotypicFeature - occurs in - Disease'],2
['Drug - produces - ChemicalSubstance - treats - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - positively correlated with - CellularComponent - in taxon - OrganismTaxon - causes - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - increases abundance of - GrossAnatomicalStructure - positively correlated with - Disease'],2
['Drug - decreases activity of - Protein - increases activity of - GeneFamily - increases abundance of - ChemicalSubstance - positively regulates - BiologicalProcess - positively correlated with - Disease'],2
"['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease', 'Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - positively correlated with - Disease']",2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - PhenotypicFeature - contributes to - Disease'],2
['Drug - negatively regulates - ChemicalSubstance - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - negatively correlated with - PhenotypicFeature - located in - GrossAnatomicalStructure - location of - Disease'],2
"['Drug - increases activity of - Protein - participates in - Pathway - negatively correlated with - BiologicalProcess - positively correlated with - Disease', 'Drug - increases activity of - Protein - negatively correlated with - BiologicalProcess - positively correlated with - Disease']",2
['Drug - negatively regulates - GeneFamily - positively regulates - BiologicalProcess - correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - located in - GrossAnatomicalStructure - correlated with - PhenotypicFeature - positively correlated with - Disease'],2
"['Drug - increases activity of - Protein - negatively correlated with - BiologicalProcess - positively correlated with - Disease', 'Drug - increases activity of - Protein - positively correlated with - ChemicalSubstance - positively regulates - Disease']",2
"['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - occurs in - Disease', 'Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - occurs in - Disease']",2
['Drug - increases activity of - Protein - positively regulates - MolecularActivity - positively regulates - Cell - positively regulates - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - occurs in - Cell - contributes to - PhenotypicFeature - occurs in - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - occurs in - Cell - contributes to - Disease'],2
['Drug - decreases activity of - Protein - participates in - Pathway - regulates - BiologicalProcess - correlated with - Disease'],2
['Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - positively regulates - BiologicalProcess - positively correlated with - Disease'],2
['Drug - disrupts - CellularComponent - participates in - BiologicalProcess - contributes to - PhenotypicFeature - occurs in - OrganismTaxon - causes - Disease'],2
['Drug - has metabolite - ChemicalSubstance - positively correlated with - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease'],2
['Drug - positively regulates - GeneFamily - positively regulates - BiologicalProcess - positively correlated with - Disease'],2
['Drug - disrupts - ChemicalSubstance - participates in - BiologicalProcess - precedes - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - negatively regulates - GeneFamily - positively regulates - BiologicalProcess - positively correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - has output - GrossAnatomicalStructure - occurs in - Disease'],2
['Drug - increases activity of - Protein - positively regulates - GeneFamily - increases abundance of - ChemicalSubstance - causes - BiologicalProcess - negatively correlated with - Disease'],2
"['Drug - negatively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - Disease', 'Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - Disease']",2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - has phenotype - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - GeneFamily - participates in - BiologicalProcess - increases abundance of - ChemicalSubstance - contributes to - Disease'],2
['Drug - has metabolite - ChemicalSubstance - decreases activity of - Protein - located in - CellularComponent - participates in - BiologicalProcess - participates in - PhenotypicFeature - correlated with - Disease'],2
['Drug - interacts with - GrossAnatomicalStructure - correlated with - BiologicalProcess - exacerbates - PhenotypicFeature - treats - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - GrossAnatomicalStructure - positively regulates - BiologicalProcess - positively correlated with - Disease'],2
['Drug - increases activity of - Protein - negatively regulates - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - has metabolite - ChemicalSubstance - increases activity of - GeneFamily - located in - Cell - causes - BiologicalProcess - correlated with - Disease'],2
['Drug - disrupts - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively regulates - GeneFamily - contributes to - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - Protein - regulates - MolecularActivity - participates in - BiologicalProcess - negatively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - molecularly interacts with - Protein - participates in - BiologicalProcess - causes - Disease'],2
"['Drug - decreases abundance of - ChemicalSubstance - positively correlated with - Disease', 'Drug - increases activity of - Protein - positively regulates - BiologicalProcess - decreases abundance of - ChemicalSubstance - positively correlated with - Disease']",2
['Drug - increases transport of - GrossAnatomicalStructure - contributes to - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - increases abundance of - ChemicalSubstance - correlated with - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - located in - Cell - participates in - Disease'],2
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - correlated with - Disease'],2
"['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease', 'Drug - increases activity of - Protein - negatively correlated with - PhenotypicFeature - positively correlated with - Disease']",2
['Drug - negatively regulates - Protein - participates in - Pathway - increases abundance of - ChemicalSubstance - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
"['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - positively correlated with - Disease', 'Drug - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease']",2
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - positively regulates - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - decreases activity of - GeneFamily - positively correlated with - Protein - participates in - Pathway - contributes to - BiologicalProcess - causes - Disease'],2
['Drug - positively regulates - Protein - participates in - Pathway - negatively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - Protein - positively correlated with - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
"['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease', 'Drug - negatively correlated with - Pathway - positively correlated with - Disease']",2
['Drug - negatively regulates - CellularComponent - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],2
"['Drug - negatively regulates - BiologicalProcess - positively correlated with - Disease', 'Drug - decreases activity of - Protein - positively correlated with - Disease']",2
['Drug - molecularly interacts with - Protein - positively regulates - BiologicalProcess - occurs in - Cell - causes - Disease'],2
['Drug - disrupts - ChemicalSubstance - participates in - BiologicalProcess - occurs in - Cell - positively correlated with - Disease'],2
"['Drug - negatively regulates - GrossAnatomicalStructure - positively regulates - Disease', 'Drug - negatively regulates - BiologicalProcess - positively correlated with - Disease']",2
['Drug - negatively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - PhenotypicFeature - superclass of - Disease'],2
['Drug - produces - ChemicalSubstance - increases activity of - Protein - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - increases activity of - Protein - positively regulates - MolecularActivity - positively regulates - GeneFamily - positively regulates - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - located in - GrossAnatomicalStructure - positively correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - Disease'],2
"['Drug - negatively regulates - BiologicalProcess - positively correlated with - Disease', 'Drug - increases activity of - Protein - decreases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - positively correlated with - Disease']",2
['Drug - decreases activity of - Protein - expressed in - Cell - positively correlated with - Disease'],2
['Drug - increases activity of - GeneFamily - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - positively correlated with - Disease'],2
['Drug - chemically similar to - ChemicalSubstance - positively regulates - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - decreases abundance of - ChemicalSubstance - affects risk for - Disease'],2
['Drug - has metabolite - ChemicalSubstance - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
"['Drug - decreases activity of - Protein - decreases activity of - BiologicalProcess - correlated with - Disease', 'Drug - decreases activity of - BiologicalProcess - correlated with - Disease']",2
['Drug - causes - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - affects risk for - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - produces - ChemicalSubstance - located in - CellularComponent - in taxon - OrganismTaxon - causes - Disease'],2
['Drug - negatively regulates - GeneFamily - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - negatively correlated with - Disease'],2
['Drug - has metabolite - ChemicalSubstance - positively correlated with - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - increases activity of - Protein - regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
"['Drug - increases activity of - GeneFamily - positively regulates - BiologicalProcess - negatively regulates - PhenotypicFeature - positively correlated with - Disease', 'Drug - increases activity of - GeneFamily - positively regulates - BiologicalProcess - negatively regulates - Disease']",2
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - occurs in - Disease'],2
['Drug - increases activity of - Protein - negatively regulates - Pathway - positively regulates - BiologicalProcess - occurs in - Disease'],2
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - contributes to - PhenotypicFeature - contributes to - Disease'],2
['Drug - negatively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - disrupts - OrganismTaxon - causes - Disease'],2
['Drug - negatively regulates - Protein - positively correlated with - ChemicalSubstance - causes - BiologicalProcess - positively correlated with - PhenotypicFeature - occurs in - Disease'],2
"['Drug - positively regulates - Protein - participates in - BiologicalProcess - negatively correlated with - PhenotypicFeature - positively correlated with - Disease', 'Drug - positively regulates - Protein - negatively regulates - ChemicalSubstance - positively correlated with - PhenotypicFeature - positively correlated with - Disease']",2
['Drug - increases activity of - Protein - positively regulates - PhenotypicFeature - negatively correlated with - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],2
['Drug - increases activity of - Protein - positively correlated with - ChemicalSubstance - produced by - GrossAnatomicalStructure - negatively correlated with - Disease'],2
['Drug - decreases activity of - Protein - regulates - PhenotypicFeature - treats - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - molecularly interacts with - ChemicalSubstance - disrupts - Cell - location of - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],2
['Drug - causes - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - positively regulates - Protein - positively correlated with - ChemicalSubstance - negatively correlated with - BiologicalProcess - positively correlated with - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - MolecularActivity - participates in - BiologicalProcess - in taxon - OrganismTaxon - positively correlated with - Disease'],2
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - occurs in - Disease'],2
['Drug - negatively regulates - Protein - part of - CellularComponent - participates in - MolecularActivity - participates in - BiologicalProcess - regulates - Disease'],2
['Drug - increases activity of - Protein - negatively correlated with - BiologicalProcess - positively correlated with - Disease'],2
['Drug - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - negatively regulates - Disease'],2
['Drug - negatively regulates - Protein - positively correlated with - ChemicalSubstance - increases activity of - Cell - located in - GrossAnatomicalStructure - contributes to - Disease'],2
"['Drug - positively regulates - BiologicalProcess - negatively correlated with - Disease', 'Drug - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - manifestation of - Disease']",2
['Drug - decreases activity of - CellularComponent - participates in - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],2
['Drug - increases activity of - Protein - positively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - occurs in - GrossAnatomicalStructure - disrupted by - Disease'],2
['Drug - increases activity of - Protein - positively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - negatively correlated with - Disease'],2
"['Drug - increases activity of - Protein - participates in - BiologicalProcess - negatively regulates - Cell - positively correlated with - Disease', 'Drug - increases activity of - Protein - participates in - BiologicalProcess - increases abundance of - ChemicalSubstance - contributes to - Disease']",2
['Drug - positively regulates - BiologicalProcess - causes - Disease'],2
['Drug - decreases activity of - Protein - decreases abundance of - ChemicalSubstance - increases activity of - GeneFamily - negatively regulates - PhenotypicFeature - manifestation of - Disease'],2
['Drug - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - increases activity of - ChemicalSubstance - participates in - BiologicalProcess - correlated with - Disease'],2
['Drug - disrupts - OrganismTaxon - causes - Disease'],2
['Drug - participates in - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - positively correlated with - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - caused by - OrganismTaxon - causes - Disease'],2
['Drug - positively regulates - MolecularActivity - positively regulates - BiologicalProcess - positively correlated with - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - contributes to - PhenotypicFeature - occurs in - Disease'],2
"['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease', 'Drug - decreases activity of - Protein - capable of - MolecularActivity - in taxon - OrganismTaxon - causes - Disease']",2
"['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - manifestation of - Disease', 'Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - manifestation of - Disease']",2
"['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - occurs in - GrossAnatomicalStructure - disrupted by - Disease', 'Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - manifestation of - Disease', 'Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - occurs in - GrossAnatomicalStructure - disrupted by - Disease', 'Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - manifestation of - Disease']",2
['Drug - decreases activity of - MacromolecularComplex - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],2
['Drug - negatively regulates - Protein - located in - GrossAnatomicalStructure - contributes to - BiologicalProcess - treats - Disease'],2
['Drug - increases activity of - Protein - decreases abundance of - ChemicalSubstance - negatively correlated with - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],2
"['Drug - is metabolite of - ChemicalSubstance - decreases activity of - Protein - participates in - BiologicalProcess - correlated with - Disease', 'Drug - is metabolite of - ChemicalSubstance - decreases activity of - Protein - participates in - BiologicalProcess - correlated with - PhenotypicFeature - manifestation of - Disease']",2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Pathway - positively correlated with - Disease'],2
['Drug - negatively regulates - Pathway - disrupts - BiologicalProcess - correlated with - Disease'],2
['Drug - decreases activity of - Protein - prevents - BiologicalProcess - correlated with - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
"['Drug - decreases activity of - Protein - positively correlated with - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease', 'Drug - negatively regulates - GeneFamily - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease']",2
['Drug - positively regulates - Protein - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
"['Drug - decreases activity of - Protein - positively regulates - PhenotypicFeature - positively correlated with - Disease', 'Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively regulates - PhenotypicFeature - positively correlated with - Disease']",2
['Drug - decreases activity of - Protein - produced by - OrganismTaxon - causes - Disease'],2
['Drug - increases abundance of - Protein - disrupted by - Disease'],2
"['Drug - disrupts - ChemicalSubstance - participates in - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease', 'Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease']",2
['Drug - increases activity of - Protein - positively correlated with - PhenotypicFeature - negatively correlated with - Disease'],2
['Drug - negatively regulates - Protein - participates in - Pathway - positively correlated with - BiologicalProcess - positively correlated with - Disease'],2
['Drug - increases activity of - Protein - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - negatively correlated with - Disease'],2
"['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - negatively correlated with - Disease', 'Drug - negatively regulates - Protein - participates in - Pathway - positively regulates - BiologicalProcess - negatively correlated with - Disease']",2
['Drug - increases activity of - Protein - participates in - Pathway - positively regulates - BiologicalProcess - negatively correlated with - GrossAnatomicalStructure - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - increases activity of - GeneFamily - positively regulates - BiologicalProcess - negatively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - increases activity of - Protein - negatively regulates - BiologicalProcess - participates in - PhenotypicFeature - manifestation of - Disease'],2
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - affects risk for - PhenotypicFeature - positively correlated with - Disease'],2
"['Drug - increases activity of - Protein - negatively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - contributes to - Disease', 'Drug - negatively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - contributes to - Disease']",2
['Drug - decreases activity of - Protein - increases abundance of - ChemicalSubstance - located in - GrossAnatomicalStructure - negatively regulates - PhenotypicFeature - treats - Disease'],2
['Drug - negatively regulates - Protein - participates in - Pathway - increases abundance of - ChemicalSubstance - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - correlated with - BiologicalProcess - positively correlated with - Disease'],2
"['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - correlated with - PhenotypicFeature - positively correlated with - Disease', 'Drug - negatively regulates - Protein - positively regulates - MolecularActivity - positively correlated with - BiologicalProcess - correlated with - PhenotypicFeature - positively correlated with - Disease']",2
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - increases abundance of - ChemicalSubstance - participates in - Disease'],2
"['Drug - decreases activity of - Protein - participates in - Pathway - positively regulates - BiologicalProcess - contributes to - Disease', 'Drug - decreases activity of - GeneFamily - participates in - Pathway - positively regulates - BiologicalProcess - contributes to - Disease']",2
['Drug - positively regulates - Protein - participates in - BiologicalProcess - causes - Disease'],2
['Drug - positively regulates - Protein - participates in - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],2
['Drug - negatively regulates - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - increases activity of - Protein - participates in - BiologicalProcess - increases abundance of - ChemicalSubstance - negatively correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively regulates - ChemicalSubstance - positively correlated with - Disease'],2
['Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - contributes to - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - increases abundance of - ChemicalSubstance - negatively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease'],2
"['Drug - decreases activity of - Protein - participates in - BiologicalProcess - positively regulates - PhenotypicFeature - manifestation of - Disease', 'Drug - decreases activity of - Protein - participates in - BiologicalProcess - positively correlated with - ChemicalSubstance - positively correlated with - Disease']",2
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - Protein - participates in - MolecularActivity - increases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - positively regulates - Protein - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - negatively regulates - BiologicalProcess - contributes to - Disease'],2
['Drug - negatively regulates - BiologicalProcess - causes - Disease'],2
['Drug - decreases activity of - Protein - negatively regulates - BiologicalProcess - correlated with - Disease'],2
['Drug - negatively regulates - Protein - contributes to - BiologicalProcess - located in - GrossAnatomicalStructure - correlated with - Disease'],2
['Drug - increases activity of - Protein - negatively regulates - BiologicalProcess - causes - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - ChemicalSubstance - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - GeneFamily - participates in - BiologicalProcess - causes - Disease'],2
['Drug - increases activity of - Protein - positively correlated with - ChemicalSubstance - negatively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - manifestation of - Disease'],2
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - prevents - Disease'],2
['Drug - positively correlated with - BiologicalProcess - negatively correlated with - Disease'],2
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - contributes to - Disease'],2
['Drug - has metabolite - ChemicalSubstance - positively regulates - BiologicalProcess - disrupts - Cell - causes - Disease'],2
['Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - contributes to - PhenotypicFeature - manifestation of - Disease'],2
['Drug - decreases activity of - GeneFamily - positively correlated with - BiologicalProcess - causes - Disease'],2
['Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - causes - Disease'],2
['Drug - increases activity of - Protein - negatively regulates - BiologicalProcess - correlated with - Disease'],2
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - ChemicalSubstance - contributes to - PhenotypicFeature - positively correlated with - Disease'],2
['Drug - decreases abundance of - ChemicalSubstance - causes - Disease'],2
